knowledge editing	other	0.30	0.00	0.69	0.00
lfg lexicon lookup	TechTool	0.97	0.00	0.02	0.01
homomorphism	DSMMM	0.08	0.17	0.31	0.44
general-to-specific learning	TechTool	0.97	0.00	0.03	0.00
spoken document categorization	TechTool	0.74	0.25	0.01	0.00
multilingual information exchange	other	0.31	0.00	0.68	0.01
arabic stemmer	TechTool	0.89	0.05	0.06	0.00
constraint propagation algorithm	TechTool	0.97	0.00	0.00	0.03
token processing	TechTool	0.98	0.00	0.01	0.01
IBM Models 1-2	DSMMM	0.09	0.00	0.02	0.88
semi-supervised learning	TechTool	0.95	0.01	0.05	0.00
simultaneous speech	other	0.18	0.12	0.69	0.01
theoremhood	TechTool	0.58	0.08	0.25	0.10
phonetic-based scoring	TechTool	0.83	0.00	0.02	0.16
slot-filling schemata	TechTool	0.95	0.01	0.03	0.01
time complexity	DSMMM	0.00	0.00	0.39	0.61
standard grammar textbook	Linguistics	0.40	0.54	0.03	0.02
principled feature selection	TechTool	0.99	0.00	0.01	0.00
iexical acquisition	TechTool	0.96	0.00	0.04	0.00
svm classifier	TechTool	1.00	0.00	0.00	0.00
dynamic splitting	TechTool	0.97	0.00	0.02	0.01
structure-sharing	TechTool	0.84	0.00	0.05	0.11
cascaded chunking parsing	TechTool	1.00	0.00	0.00	0.00
pre-discourse meaning	Linguistics	0.02	0.88	0.09	0.01
bottom-up approach	TechTool	0.96	0.00	0.01	0.03
bigram distribution modelling	DSMMM	0.27	0.00	0.00	0.73
korean language	Linguistics	0.01	0.96	0.02	0.01
case particle	Linguistics	0.13	0.78	0.03	0.05
subject-object relation	other	0.01	0.28	0.67	0.05
dependency parsing	TechTool	0.90	0.00	0.00	0.09
prosody	Linguistics	0.08	0.52	0.36	0.04
stochastic model	TechTool	0.61	0.00	0.00	0.39
addressee prediction	TechTool	0.57	0.00	0.24	0.19
domain-independent question answering	TechTool	0.48	0.41	0.11	0.00
categorisation research	other	0.46	0.03	0.50	0.00
referent disambiguation	TechTool	0.92	0.03	0.05	0.00
phrasal analysis program	TechTool	0.95	0.02	0.01	0.02
parser-based approach	TechTool	0.99	0.00	0.00	0.01
word-extraction	TechTool	0.94	0.02	0.00	0.04
relation matching	TechTool	0.85	0.00	0.04	0.10
ohsumed dataset	Linguistics	0.13	0.78	0.06	0.04
finite-state dependency parser	TechTool	0.95	0.04	0.01	0.00
distributional analysis \	TechTool	0.84	0.14	0.00	0.02
knowledge storage	TechTool	0.58	0.00	0.42	0.00
likelihood reestimation	DSMMM	0.43	0.00	0.00	0.57
projection	DSMMM	0.15	0.24	0.29	0.32
kpca-based model	DSMMM	0.32	0.00	0.00	0.68
look-ahead probability	DSMMM	0.02	0.00	0.01	0.96
automata induction	TechTool	0.97	0.00	0.02	0.01
language generation	TechTool	0.92	0.00	0.07	0.01
feature-value pair	TechTool	0.58	0.03	0.00	0.39
source language text	Linguistics	0.01	0.59	0.40	0.00
knowledge representation structure	TechTool	0.57	0.02	0.39	0.02
regression trees	DSMMM	0.43	0.01	0.01	0.55
phrase-based statistical machine translation	TechTool	0.97	0.01	0.00	0.02
word reordering problem	other	0.32	0.00	0.67	0.01
multi-document fusion	TechTool	0.96	0.02	0.02	0.00
semantic grammar	TechTool	0.67	0.16	0.01	0.16
microsoft speech recognition	TechTool	0.94	0.01	0.05	0.00
phrase clustering	TechTool	0.86	0.01	0.00	0.12
gear rule-writing language	TechTool	0.90	0.06	0.04	0.00
incremental acquisition	TechTool	0.99	0.00	0.01	0.00
accident modelling	TechTool	0.93	0.00	0.06	0.02
topic suspension and resumption	other	0.20	0.02	0.76	0.02
interactive query	TechTool	0.95	0.00	0.05	0.00
metadata detection	TechTool	0.99	0.00	0.00	0.01
ontology-based inference	TechTool	0.99	0.00	0.00	0.01
past participle	Linguistics	0.16	0.60	0.24	0.00
topic shift detection	TechTool	0.79	0.00	0.15	0.06
text summarisation system	TechTool	0.96	0.03	0.01	0.00
information extraction and retrieval	TechTool	0.97	0.00	0.02	0.01
multiple-output conversion	TechTool	0.62	0.00	0.38	0.00
statistical alignment	TechTool	0.99	0.00	0.00	0.01
speech tag	Linguistics	0.39	0.51	0.09	0.01
large vocabulary speech recognizer	TechTool	0.91	0.05	0.03	0.01
vector normalization	TechTool	0.92	0.00	0.00	0.08
pragmatic interpretation	TechTool	0.93	0.01	0.05	0.02
term classification	TechTool	0.58	0.01	0.00	0.41
parameter pooling	other	0.40	0.00	0.50	0.10
reuters corpus	Linguistics	0.00	0.98	0.01	0.01
speech act identification	TechTool	0.78	0.00	0.22	0.00
learning module	TechTool	0.83	0.00	0.17	0.00
phoneme string	TechTool	0.49	0.08	0.37	0.06
tim sentence	Linguistics	0.18	0.57	0.20	0.04
chi-square statistic	TechTool	0.51	0.00	0.01	0.48
length-based sentence alignment	TechTool	0.60	0.00	0.00	0.39
discourse deictic anaphora	Linguistics	0.24	0.42	0.34	0.00
database lookup	TechTool	0.95	0.00	0.04	0.01
term derivation	DSMMM	0.09	0.02	0.42	0.47
trec evaluation	other	0.06	0.02	0.49	0.44
