Natural Language Processing	other	1
left corner parsing algorithm	tech	1
bootstrapping approach	tech	1
cohesive text	other	1
disambiguation process	other	1
character and word error rate	measure	1
Web-based computer-assisted academic writing	tech	1
LFG	other	1
block unigram model	model	1
referential information	other	1
constraint	other	1
trees	other	1
RAREAS	tool	2
honorifics	other	3
noun group	other	1
Simulated annealing approach	tech	1
word strings	other	1
Category Cooccurrence Restrictions ( CCRs )	other	1
average precision	measure	1
hidden Markov models ( HMM )	other	1
text-understanding systems	tech	1
language processing modules	tech	1
learning algorithm	tech	1
reference problems	other	1
sentence co-occurrences	other	1
paraphrase classification accuracy	measure	1
Non Verbal and Multimodal Communication	other	1
large database	other	1
identification of paraphrases	tech	1
statistical machine translation tool kit	tech	1
word set based representation	other	1
intentional structure	other	2
corpora	lr	3
RCG	other	1
expressions	other	1
speaker adaptation ( SA )	tech	1
miscommunication	other	2
decision tree	tech	1
Czech	other	2
homophone	other	2
operational semantics	other	1
human annotated text	lr	1
probabilistic context-free grammars	other	1
object-oriented grammar model	model	1
test corpus	lr	1
clustering algorithm	tech	1
dialogue	other	2
utterance features	other	1
extensional reference	other	1
original document	other	1
semantic frame	tech	1
non-monotonic reasoning	tech	1
computational model	other	1
entity-oriented parser	tech	1
verbal and nonverbal grounding acts	other	1
Heuristic Parsing Model ( HPM )	model	1
speech processing	other	1
arc	other	1
Chinese-English texts	other	1
average precision metric	measure	1
actor paradigm	other	1
Begin/After tagging	tech	1
MRR	measure	1
LMs	model	1
node structures	other	1
word tokens	other	1
translation process	other	1
error reduction	other	1
argumentation system	tech	1
spelling-checkers	tech	2
linguistic expressiveness	other	1
rhetorical functions	other	1
logical formulas	other	1
unsupervised technique	tech	1
rule-based systems	tech	1
word-based trigram language model	model	1
human-machine interactions	other	1
story link detection	tech	1
concurrent computation model	tech	1
dialogue duration	other	1
SPoT	tool	2
qualitative spatial constraints	other	1
grammatical formalisms	other	1
dependency structure	other	1
context	other	2
Treebank	lr	1
computation model	model	1
SMT	tech	4
concurrency	tech	1
semantic constraints	other	1
disjunctive feature structures	other	1
named entities	other	1
graphs	other	1
Node-based inference	tech	1
recall	measure	3
subtopic boundaries	other	1
Bayesian learning	tech	1
Japanese kanji-kana characters	other	1
trigram language model	model	1
forward-backward algorithm	tech	1
discourse	other	12
NIST evaluation metric	measure	1
Machine Translation	tech	1
phrasal and single word lexical paraphrases	other	1
heuristic learning	tech	1
concurrency of computation	tech	1
transfer mappings	other	1
comma checker	tech	1
word vectors	other	1
spoken language system	tech	1
user modeling systems	tech	1
sentence plan	other	1
statistical machine translation system	tech	2
Paramax spoken language understanding system	tool	1
dictionary	lr	4
unknown word features	other	1
source dependency parse	other	1
dependency grammars	other	1
MLE reestimation algorithms	tech	1
computer system	tech	1
disjunctions	other	2
SI recognition	tech	1
part-of-speech tagger	tech	2
surface representation	other	1
maximum-entropy model	model	1
word dependent substitution costs	other	1
predictive questioning	tech	1
Arabic word segmenter	tech	1
spoken dialogue systems	tech	3
spoken language corpus	lr	1
ambiguity handling	other	1
adaptive dynamic word formation	tech	1
vocabulary	lr	1
Similarity-driven Transfer System ( SimTran )	tech	1
predicates	other	1
fully-connected first-order statistical class grammar	other	1
evaluation measures	measure	3
WSI algorithm	tech	1
automatic alignments	other	1
frame semantics paradigm	other	1
dialogue corpora	lr	1
statistical approaches	tech	1
Word Identification	other	1
generative probabilistic optical character recognition ( OCR ) model	model	1
parsing strategies	tech	1
document summarization	tech	1
RCL parsers	tech	1
resource-frugal approach	tech	1
answering agents	tech	3
machine translation	tech	8
dependency trees	other	1
free indexation algorithm	tech	1
Path-based inference rules	other	1
word-dependent substitution costs	other	1
Slavonic languages	other	1
edit operation	tech	1
knowledgebases	lr	1
language learning	other	1
principle-and-parameters language framework	other	1
free indexation	other	1
parallel data	other	1
search engine	tech	1
natural language interface	tech	2
defeasible reasoning	other	1
entity-oriented language definition	other	1
phrasal translation	other	1
syntax-based constraint	other	1
nodes	other	3
translation quality	measure	3
Korean Phonology Structure Grammar ( KPSG )	other	1
path-based inference rules	other	1
translation probabilities	other	1
structural disambiguation	tech	1
dynamic language model combination	tech	1
abductive inference	tech	1
bigram language model	model	1
alignment algorithm	tech	1
probabilistic parser	tech	1
non-constituent coordination	other	1
listener	other	4
pronoun	other	1
continuous speech recognition	tech	1
SENSEVAL-2 nouns	other	1
compound noun	other	1
translation candidates	other	1
Wall Street Journal text corpus	lr-prod	1
management of uncertainty	tech	1
syntactically motivated phrases	other	1
keywords	other	1
English words	other	1
local phrase re-ordering	other	1
sentence-aligned parallel corpus	lr	1
packed parse forests	other	1
CSR pilot corpus	lr-prod	1
n-gram models	model	1
Syllogistic reasoning with dispositions	tech	1
LTAG	other	2
Dynamic Grammars	other	1
parallel corpus	lr	2
data structure	other	1
unsupervised learning algorithm	tech	1
analysis	tech	1
CFG filtering techniques	tech	1
eye gaze	other	1
error characters	other	1
machine learning approach	tech	1
log-linear ( maximum-entropy ) models	tech	1
intelligent interactive systems	tech	1
predicate-argument structures	other	2
SENSEVAL-2 English lexical sample task	other	1
Penn Treebank WSJ	lr-prod	1
segment boundaries	other	1
quality	measure	1
syntactic paraphrases	other	1
non-contiguous phrases	other	1
voting- and arbiter-based combination strategies	tech	1
sentence scoping	tech	1
Augmented Case Marker System	tech	1
RINA	tool	1
index	other	1
chunks	other	1
concepts	other	1
function words	other	1
broad coverage lexicon	lr	1
decision tree based approach	tech	1
interaction requirements	other	1
parallelism	other	1
determiners	other	2
syntactic disambiguation	tech	1
highly inflected languages	other	1
average retrieval times	other	1
translation system	tech	1
confidence measures	measure	1
skilled users	other	1
POURPRE	measure	2
bilingual parallel corpus	lr	1
structured natural language data	other	1
addressee	other	1
supervised and unsupervised methods	tech	1
human plausible reasoning	other	1
pre-tagged corpus	lr	1
corpus	other	1
expert systems	tech	1
utterance classification performance	measure	1
source language sentences	other	1
CCR formalism	other	1
head-orientation	tech	1
language understanding	tech	2
maximum likelihood criterion	other	1
attentional state	other	4
non-parallel corpus	lr	1
word	other	2
clustering methods	tech	1
isomorphic derivations	other	1
language neutral meaning representation	tech	1
comparable , non-parallel corpora	lr	1
TAGs	other	3
IDUS ( Intelligent Document Understanding System )	tool	1
Resource Management ( RM ) corpus	lr-prod	1
Arabic word segmentation system	tech	1
Unification Categorial Grammar ( UCG )	other	1
highly inflective languages	other	1
disposition	other	4
main parser	tech	1
HBG model	other	1
spoken language understanding	tech	1
annotating scheme	other	1
LSA-based and the cooccurrence-based word vectors	other	1
structured data	other	2
unification	tech	1
Augmented Transition Network	tech	1
nonverbal behaviors	other	1
pronouns	other	1
phrase-based translation model	model	1
SMT algorithms	tech	1
human interaction with data sources	tech	1
tagger	tech	2
parse trees	other	1
ambiguities	other	2
input	other	1
Explicitation	other	1
decoder	tech	1
head nods	other	1
recognition network	other	1
scenario templates	other	1
fuzzy syllogism	other	1
clusters	other	1
reference sets	other	2
multi-level answer resolution algorithm	tech	1
syntactic information	other	1
clauses	other	2
transition	other	1
lexical hierarchy	other	1
similarity	other	2
word N-gram models	model	1
key prediction	tech	1
grounding	other	1
morphemes	other	1
log-linear and linear interpolation	tech	1
semantic questions	other	1
statistically fitted rule-based model	tech	1
editing terms	other	1
associative processors ( APs )	tech	1
word alignment	tech	1
N-grams	model	1
distributed message-passing infrastructure	tech	1
bag-of-words methods	tech	1
Horn logic program	other	1
separation margin	other	1
logic	other	3
world knowledge	other	2
exact match accuracy	measure	1
affix removal	tech	1
Source and Target languages	other	1
Roget's Thesaurus	lr-prod	1
Wall Street Journal treebank	other	1
domain entities	other	1
sentence plans	other	1
Japanese texts	other	1
ranking rules	model	1
user utterances	other	1
web	other	1
text	other	4
references	other	1
lexical substitutions	other	2
phrasal SMT	tech	1
statistical systems	tech	1
CARE	tool	1
document understanding technology	tech	1
syntax-based decoder	tech	1
kernel function	tech	1
retrieval	tech	1
Arabic-English translation task	other	1
alignment quality	measure	1
Interactive Machine Translation	tech	1
TAG	other	1
BU recognition system	lr	1
need	other	1
learner	tech	1
word n-grams	other	1
semantic-head-driven generation	tech	1
interface	tech	2
graphical model	tech	1
paraphrase probability	other	1
word sense disambigation models	tech	1
automatic evaluation measures	measure	1
reranking task	other	1
meta-inference types	other	1
temporal relations	other	1
linguistic and non-linguistic knowledge	other	1
translations	other	1
text-plan input	other	1
learning	other	1
Spanish	other	1
coordination	other	1
lexical-syntactic forms	other	1
English coordinate structure analysis model	tech	1
document processing	tech	1
fonts	other	1
syntactic analysis	tech	1
Switchboard dialogues	other	1
vector space model	other	1
verb group	other	1
TGE	tool	1
ensemble methods	tech	1
APT	tool	1
Korean phonological knowledge base system	lr	1
Discourse processing	tech	1
strings	other	1
dialogue state	other	1
bottom-up pattern-matching parser	tech	1
automatic parse-based evaluation	tech	1
referring expressions	other	2
translation output	other	1
word sense disambiguation ( WSD ) models	tech	1
saturation	other	1
unification-based grammar parsing	tech	1
user's informational goals	other	1
documents	other	1
commas	other	2
vagueness	other	1
machine translation outputs	other	2
IE paradigm	other	1
dependency network representation	other	1
histogram	other	1
dialog	other	1
cyclic structures	other	1
verb	other	2
logical well-formedness conditions	other	1
similarity measure	measure	1
translation systems	tech	1
NLP techniques	tech	2
test-score semantics	other	1
new event detection	tech	2
word-trie	other	1
sentence analysis	tech	1
type-unification	tech	1
Boolean conditions	other	1
source texts	other	1
implicit intention component	other	1
BLEU	measure	4
oral communication	other	1
Path-based inference	tech	2
commonsense reasoning	tech	1
dialogue system	tech	1
CMU's SMT system	tool	1
speaker-independent ( SI ) training	tech	1
lexicologists	other	1
segmental k-means algorithm	tech	1
synchronous grammars	other	1
bilingual resource	lr	1
dialog schemata	other	1
grammar	lr	4
generalized LR parsing	tech	1
linguistic databases	lr	1
adaptation	tech	1
contexts	other	1
Head Grammars	other	1
signals	other	1
unification framework	tech	1
multi-document summarization	tech	1
ambiguity	other	10
Generation	tech	1
information sources	other	1
English phrases	other	1
wide coverage English grammar	other	1
attribute sequences	other	1
user	other	4
Arabic	other	1
LOGON MT demonstrator	tool	1
lexical generalizations	other	1
coherence rules	other	1
probabilities	other	1
USR	other	1
phrase-based translation models	model	1
defeasibility	other	1
native from non-native language essays	other	1
rule-based and example based machine translation modules	tech	1
content determination	tech	1
natural language generator	tech	1
HDAGs	other	1
user utterance	other	2
rankings	other	1
weighted sum	other	1
training ( reference ) speaker	other	1
hand-crafted system	tech	1
verb final language	other	1
manually sense-tagged data	lr	2
perspective-taking	other	1
Japanese revision support systems	tech	1
contextual information	other	1
scalability	other	1
unsupervised WSD systems	tech	1
source interval projections	other	1
system output	other	1
stochastic output selection	tech	1
IE-enhanced text browsers	tech	1
Multimedia answers	other	1
dialogue move	other	1
term weighting statistical assignment paradigm	tech	1
substitutions	other	1
ellipses	other	1
path of arcs	other	1
cluster number estimation	tech	1
Sentence planning	tech	1
NOMAD	tool	1
limited domain semantics	other	1
block selection criteria	other	1
RCGs	other	1
transcription errors	other	1
accuracy rate	measure	2
tag contexts	other	1
recognition accuracy	measure	1
verbal interactions	other	1
translation examples	other	1
pattern	other	1
pronominal anaphora resolution module	tech	1
planning-based architecture	other	1
SPR	tech	2
MT systems	tech	2
Translations	other	1
named entity annotations	other	1
restoration	other	1
machine translation task	other	1
hand-crafted template-based or rule-based approaches	tech	1
metaphor interpretation	tech	1
tree	other	2
English understanding system	tech	1
word forms	other	1
text understanding	tech	2
cooccurrence statistics	other	1
Arabic information retrieval	tech	1
approximation error	other	1
part-of-speech tag sequences	other	1
human transcription	other	1
temporal anaphora resolution	other	1
Combination methods	tech	1
Czech-English statistical machine translation system	tech	1
SUMMIT recognizer	tool	1
ECA	tech	1
NIST	measure	2
automatic extraction	tech	1
ranking	other	2
text browser	tech	1
natural language system	tech	3
spoken language understanding system	tech	1
hub	other	1
semantic interpretation	other	1
speech repairs	other	1
dialogue systems	tech	2
reference word string	other	1
Q/A	tech	1
decision tree learning	tech	1
recognition task	tech	1
cooperative responses	other	2
unsupervised component	tech	1
multimedia articulation of answers	tech	1
word fragments	other	1
inference method	tech	1
subjective human judgments	other	1
two-step clustering process	tech	1
probabilistic synchronous dependency insertion grammar	other	1
constituent	other	1
information workers	other	1
Basque	other	1
CSR	tech	1
evaluation techniques	tech	1
word or semantic error rate	measure	1
SMT research community	other	1
edges	other	5
natural language input	other	1
language L	other	1
style	other	1
path	other	1
MUC-3 evaluation	other	1
syntax formalisms	other	1
rewriting systems	other	1
Montague semantics	other	2
classification method	tech	1
learning methodology	other	1
image understanding	tech	2
parsing data	other	1
database query paraphrase	tech	1
dynamic combiner	tech	1
case-based MT ( CBMT )	tech	1
non-deterministic parsing choices	other	1
concept	other	1
machine readable dictionaries	lr	1
natural language generation community	other	1
word segmentation	tech	1
user satisfaction	measure	1
character	other	2
Japanese homophone errors	other	2
Lexical-Functional Grammars ( LFG )	other	1
discourse processing algorithms	tech	1
top-down derivation	tech	1
statistical translation model	other	1
supervised training data	lr	1
strength of potential antecedence	other	1
transfer phase	tech	1
word segmentation problem	other	2
dependency relations	other	2
User models	model	1
mixture trigram models	model	1
answer candidates	other	1
interfaces	tech	1
similarity measures	other	1
phrase-based statistical machine translation method	tech	1
Task-based evaluation	tech	1
dialogue acquisition and tracking algorithm	tech	1
vocabulary size	other	1
SYSCONJ system	tool	1
language learning model	other	1
consistency problem	other	1
abstracts	other	2
paraphrase extraction and ranking methods	tech	1
typing-algorithm	tech	1
extraction and conversion rules	other	1
spatial concepts	other	1
relational database	tech	1
entries	other	1
bilingual corpus	lr	1
WSD models	tech	4
example-retrieval ( ER )	tech	1
training material	lr	1
task-oriented and goal-directed dialogs	other	1
inheritance	other	2
entities	other	1
generator	tech	1
ontology	other	1
part of speech tagging	tech	1
WH-questions	other	1
English alphabets	other	1
logic-based grammar formalism	other	1
inductive decision tree learning	tech	1
ungrammatical input	other	1
question classification	tech	1
English-Japanese machine translation	tech	1
request	other	2
derivation	other	1
clustering	tech	1
maximum likelihood method	tech	1
user-defined performance thresholds	other	1
software infrastructure	tech	1
verbs	other	1
FROFF	tool	1
knowledge-based information retrieval	tech	1
Unification-based grammar formalisms	other	1
cue phrases	other	3
CCLINC Korean-to-English translation system	tool	1
discourse segments	other	1
word order generation	tech	1
stochastic tree-to-tree transducer	tech	1
LM	model	2
Minimalist grammars	other	1
image and text understanding	tech	1
linguistic objects	other	1
baseline results	other	1
parses	other	2
language families	other	1
English sentences	other	1
non-English ( Arabic ) stemmer	tech	1
document oriented preference sets( DoPS )	tech	1
terminal and non-terminal edges	other	1
homophone errors	other	3
negative feedback	other	1
linguistic information	other	1
Thai key prediction	tech	1
Statistical machine translation ( SMT )	tech	1
WSD programs	tech	1
arcs	other	1
text corpus	lr	1
genre	other	1
October '91 dry-run test set	lr-prod	1
Honorifics	other	1
speakers	other	3
Japanese-English translation	tech	1
evaluation measure	measure	1
ambiguity packing and stochastic disambiguation techniques	tech	1
interactive question-answering ( Q/A ) system	tech	1
referents	other	3
CSR corpus	lr-prod	3
addressee identification	tech	1
computer text generation system	tech	1
F-measure	measure	1
content-independent formalism	other	1
MT system	tech	3
PER	measure	1
