dags	DSMMM
data structure	DSMMM
hub	DSMMM
hubs	DSMMM
parse record	DSMMM
path of arcs	DSMMM
suffix array-based data structure	DSMMM
word-trie	DSMMM
actor paradigm	Linguistics
Chomsky's minimalist program	Linguistics
denotational semantics	Linguistics
frame semantics paradigm	Linguistics
generative phonological approach	Linguistics
grammatical formalisms	Linguistics
inferential theory for natural language presuppositions	Linguistics
linguistic theory	Linguistics
Montague semantics	Linguistics
morphology	Linguistics
one sense per collocation observation	Linguistics
operational semantics	Linguistics
phrasal and single word lexical paraphrases	Linguistics
predicate-argument structures	Linguistics
rhetorical functions	Linguistics
semantics	Linguistics
syntactic paraphrases	Linguistics
test-score semantics	Linguistics
abstracts	Linguistics
alternative markers	Linguistics
anaphora	Linguistics
Arabic	Linguistics
Arabic-English	Linguistics
Arabic's rich morphology	Linguistics
arguments	Linguistics
Basque	Linguistics
char	Linguistics
character	Linguistics
Chinese-English texts	Linguistics
chunks	Linguistics
clauses	Linguistics
cohesive text	Linguistics
commas	Linguistics
compound noun	Linguistics
compound nouns	Linguistics
concept	Linguistics
concepts	Linguistics
conjunction	Linguistics
constituent	Linguistics
constituents	Linguistics
context	Linguistics
contexts	Linguistics
coordinate conjunction	Linguistics
coordinate conjunctions	Linguistics
cue phrases	Linguistics
Czech	Linguistics
demonstrative expressions	Linguistics
dependency structure	Linguistics
determiners	Linguistics
Determiners	Linguistics
discourse phenomena	Linguistics
discourse structure	Linguistics
discourses	Linguistics
document	Linguistics
document descriptors ( keywords )	Linguistics
domain	Linguistics
domains	Linguistics
English	Linguistics
English alphabets	Linguistics
English phrases	Linguistics
English sentences	Linguistics
English word	Linguistics
English words	Linguistics
event terms	Linguistics
expert human translations	Linguistics
expressions	Linguistics
French sentence	Linguistics
function words	Linguistics
genre	Linguistics
highly inflected languages	Linguistics
highly inflective languages	Linguistics
homophone	Linguistics
honorifics	Linguistics
Honorifics	Linguistics
Japanese	Linguistics
Japanese bunsetsu	Linguistics
Japanese kanji-kana characters	Linguistics
Japanese patent claim sentences	Linguistics
Japanese texts	Linguistics
kanji-kana characters	Linguistics
keywords	Linguistics
Korean	Linguistics
language	Linguistics
language families	Linguistics
language pairs	Linguistics
languages	Linguistics
lexical-syntactic forms	Linguistics
linguistic concepts	Linguistics
linguistic objects	Linguistics
linguistic structure	Linguistics
machine translations	Linguistics
meaning	Linguistics
meaning structure	Linguistics
morpheme	Linguistics
morphemes	Linguistics
named entities	Linguistics
natural language	Linguistics
natural language texts	Linguistics
NE	Linguistics
NE types	Linguistics
non-contiguous phrases	Linguistics
noun group	Linguistics
noun phrases	Linguistics
nouns	Linguistics
original document	Linguistics
overt case markers	Linguistics
paragraph	Linguistics
parse trees	Linguistics
part-of-speech tag sequences	Linguistics
PERSON NE	Linguistics
personal names	Linguistics
phrase	Linguistics
phrase translations	Linguistics
phrases	Linguistics
polysemic verbs	Linguistics
polysemous word	Linguistics
polysemous words	Linguistics
predicate	Linguistics
predicate argument structures	Linguistics
pronoun	Linguistics
pronouns	Linguistics
questions	Linguistics
reference word string	Linguistics
referents	Linguistics
referring expressions	Linguistics
Referring Expressions	Linguistics
Russian	Linguistics
segments	Linguistics
semantic categories	Linguistics
semantic roles	Linguistics
semantic verb classes	Linguistics
sense	Linguistics
sentence	Linguistics
sentences	Linguistics
Slovak	Linguistics
Source and Target languages	Linguistics
source dependency parse	Linguistics
source language	Linguistics
source language sentences	Linguistics
source texts	Linguistics
source-language	Linguistics
Spanish	Linguistics
spatial attributes	Linguistics
spoken language system domains	Linguistics
stems	Linguistics
sublanguage	Linguistics
subpredicates	Linguistics
suffix	Linguistics
syllables	Linguistics
syntactic categories	Linguistics
